,Low,High,Open,Close,Volume
2017-02-11 00:00:00+00:00,11.34,11.52,11.44,11.52,6626.826512830002
2017-02-12 00:00:00+00:00,11.41,11.53,11.51,11.5,6904.869350239999
2017-02-13 00:00:00+00:00,11.21,11.54,11.5,11.43,14208.048859730023
2017-02-14 00:00:00+00:00,11.4,14.0,11.42,13.15,62794.319485189844
2017-02-15 00:00:00+00:00,12.68,13.2,13.16,12.98,31360.850756790023
2017-02-16 00:00:00+00:00,12.62,13.0,12.98,12.91,35104.97090698996
2017-02-17 00:00:00+00:00,12.71,12.95,12.92,12.77,26068.370675779926
2017-02-18 00:00:00+00:00,12.77,12.93,12.77,12.89,16934.61463900002
2017-02-19 00:00:00+00:00,12.79,12.95,12.87,12.9,12684.947734520016
2017-02-20 00:00:00+00:00,12.58,12.95,12.9,12.61,26121.70527515999
2017-02-21 00:00:00+00:00,12.3,12.86,12.59,12.83,23226.52528739995
2017-02-22 00:00:00+00:00,12.68,12.9,12.83,12.75,26168.780114359957
2017-02-23 00:00:00+00:00,12.73,13.35,12.74,13.21,36778.38726365996
2017-02-24 00:00:00+00:00,12.81,13.32,13.22,13.19,42076.843744270016
2017-02-25 00:00:00+00:00,13.08,13.83,13.18,13.65,39400.685934840105
2017-02-26 00:00:00+00:00,13.4,14.79,13.64,14.74,36702.23027142992
2017-02-27 00:00:00+00:00,14.43,16.18,14.74,15.66,49496.137031479804
2017-02-28 00:00:00+00:00,15.27,16.94,15.66,16.2,60648.041612859815
2017-03-01 00:00:00+00:00,15.68,17.58,15.75,17.43,90966.43012948999
2017-03-02 00:00:00+00:00,16.89,19.8,17.46,19.27,121007.61785671981
2017-03-03 00:00:00+00:00,18.26,21.48,19.27,19.57,120753.00910580024
2017-03-04 00:00:00+00:00,18.65,20.35,19.61,18.65,41425.857020069976
2017-03-05 00:00:00+00:00,18.21,19.44,18.65,19.4,44620.9062374799
2017-03-06 00:00:00+00:00,19.2,20.24,19.39,19.67,50752.79144941026
2017-03-07 00:00:00+00:00,18.6,19.71,19.68,18.96,45664.10301490998
2017-03-08 00:00:00+00:00,16.66,18.96,18.96,16.66,71783.23641571008
2017-03-09 00:00:00+00:00,16.22,18.2,16.66,17.82,56891.54749325009
2017-03-10 00:00:00+00:00,17.01,19.7,17.81,19.22,91785.23524850977
2017-03-11 00:00:00+00:00,18.92,21.77,19.21,21.65,73176.10684701016
2017-03-12 00:00:00+00:00,21.38,24.25,21.67,23.39,74939.0093159099
2017-03-13 00:00:00+00:00,23.38,31.07,23.38,28.62,166859.82170359037
2017-03-14 00:00:00+00:00,27.19,30.0,28.63,28.69,68064.50909544998
2017-03-15 00:00:00+00:00,28.51,35.76,28.69,35.69,112257.41592201017
2017-03-16 00:00:00+00:00,35.66,46.99,35.66,45.96,175114.94889893962
2017-03-17 00:00:00+00:00,35.04,57.39,45.97,44.62,169130.53434738965
2017-03-18 00:00:00+00:00,30.7,44.99,44.62,34.02,146929.39923187805
2017-03-19 00:00:00+00:00,33.91,45.64,34.03,43.21,122831.83351819545
2017-03-20 00:00:00+00:00,40.97,45.23,43.21,42.37,52751.54485287926
2017-03-21 00:00:00+00:00,41.76,43.67,42.37,42.37,36753.34061888014
2017-03-22 00:00:00+00:00,38.27,42.5,42.39,41.37,53700.719769139534
