,Low,High,Open,Close,Volume
2017-02-02 00:00:00+00:00,978.9,1010.0,992.75,1008.38,1956.747942299978
2017-02-03 00:00:00+00:00,994.34,1024.49,1008.4,1018.01,1667.749961019985
2017-02-04 00:00:00+00:00,1002.51,1040.11,1018.48,1035.54,1320.205861859992
2017-02-05 00:00:00+00:00,1004.11,1036.3,1035.54,1016.24,1370.0793067499917
2017-02-06 00:00:00+00:00,1015.43,1027.7,1016.32,1022.6,1304.75589129999
2017-02-07 00:00:00+00:00,1022.52,1058.2,1022.65,1053.95,1423.6337640699833
2017-02-08 00:00:00+00:00,1017.76,1069.94,1053.95,1056.78,2018.608588849985
2017-02-09 00:00:00+00:00,941.99,1078.96,1057.22,994.24,3645.5822701300694
2017-02-10 00:00:00+00:00,965.15,1007.96,993.58,1001.55,1846.2709484699776
2017-02-11 00:00:00+00:00,1000.04,1023.89,1001.88,1018.65,1346.2532548699837
2017-02-12 00:00:00+00:00,1008.03,1018.66,1018.63,1010.0,601.8044467800001
2017-02-13 00:00:00+00:00,986.58,1021.31,1009.99,1002.82,1668.7894794499837
2017-02-14 00:00:00+00:00,992.79,1018.97,1002.88,1013.92,2027.5957434399677
2017-02-15 00:00:00+00:00,1007.97,1016.0,1013.92,1014.5,1468.009615389978
2017-02-16 00:00:00+00:00,1013.54,1041.88,1014.58,1038.94,2370.7145705199905
2017-02-17 00:00:00+00:00,1037.09,1064.34,1038.95,1057.3,2108.1655586499737
2017-02-18 00:00:00+00:00,1055.61,1073.8,1057.29,1062.15,1404.638325389987
2017-02-19 00:00:00+00:00,1051.36,1067.78,1062.14,1059.88,1103.2718120999896
2017-02-20 00:00:00+00:00,1051.42,1094.7,1059.88,1089.82,1644.974566439982
2017-02-21 00:00:00+00:00,1083.13,1132.51,1089.98,1129.99,2448.31628647002
2017-02-22 00:00:00+00:00,1107.5,1139.97,1129.67,1129.24,1916.8197807699723
2017-02-23 00:00:00+00:00,1128.54,1197.0,1129.87,1185.3,2698.164981490062
2017-02-24 00:00:00+00:00,1104.42,1220.04,1185.81,1186.91,2909.0576385000404
2017-02-25 00:00:00+00:00,1116.76,1189.47,1186.91,1157.99,1448.677549749979
2017-02-26 00:00:00+00:00,1133.26,1185.9,1157.98,1184.91,1611.427251809982
2017-02-27 00:00:00+00:00,1176.01,1198.99,1184.91,1195.81,1453.322560269978
2017-02-28 00:00:00+00:00,1180.97,1214.93,1195.84,1197.95,1383.3744300599794
2017-03-01 00:00:00+00:00,1188.0,1230.0,1194.53,1230.0,2941.3162251700787
2017-03-02 00:00:00+00:00,1220.0,1297.97,1230.0,1269.17,2951.1787149500597
2017-03-03 00:00:00+00:00,1258.53,1294.99,1269.17,1292.89,2324.7988121299695
2017-03-04 00:00:00+00:00,1240.05,1294.07,1293.06,1273.97,1593.3412797399646
2017-03-05 00:00:00+00:00,1247.64,1278.99,1273.94,1278.97,1244.4208899599869
2017-03-06 00:00:00+00:00,1269.72,1287.96,1278.63,1284.99,1428.5787748699831
2017-03-07 00:00:00+00:00,1185.5,1288.0,1284.99,1237.36,2417.354021060026
2017-03-08 00:00:00+00:00,1143.22,1246.0,1237.36,1150.22,2937.301397180091
2017-03-09 00:00:00+00:00,1131.11,1214.33,1150.22,1197.3,2831.847970790048
2017-03-10 00:00:00+00:00,978.7,1350.0,1197.3,1113.99,4958.013312780266
2017-03-11 00:00:00+00:00,1108.13,1218.28,1111.92,1187.97,2768.2035374100337
2017-03-12 00:00:00+00:00,1178.66,1243.98,1188.11,1235.57,2279.756963950011
2017-03-13 00:00:00+00:00,1215.76,1249.0,1235.27,1245.49,2488.440594639999
2017-03-14 00:00:00+00:00,1229.87,1261.63,1245.5,1248.42,2367.1955465100004
2017-03-15 00:00:00+00:00,1245.05,1264.54,1247.43,1263.68,2513.9821372399997
2017-03-16 00:00:00+00:00,1120.01,1277.24,1263.55,1175.11,3762.1369408401397
2017-03-17 00:00:00+00:00,1066.17,1175.11,1175.11,1069.57,5495.575010770301
2017-03-18 00:00:00+00:00,925.64,1096.0,1068.78,970.0,5775.194503470331
2017-03-19 00:00:00+00:00,969.97,1061.68,970.0,1019.12,4118.555984380157
2017-03-20 00:00:00+00:00,1011.24,1051.96,1019.1,1045.98,2162.359967919979
2017-03-21 00:00:00+00:00,1043.96,1120.0,1046.75,1114.42,3503.7140474700627
2017-03-22 00:00:00+00:00,987.16,1114.94,1114.42,1038.54,3323.4183012500584
2017-03-23 00:00:00+00:00,1013.68,1054.68,1038.94,1025.14,1739.4137917899654
2017-03-24 00:00:00+00:00,922.72,1030.08,1025.13,934.85,4168.23328489008
2017-03-25 00:00:00+00:00,890.51,973.68,933.93,963.89,4585.708666820087
2017-03-26 00:00:00+00:00,949.07,1005.0,963.72,973.08,2777.2960791100213
2017-03-27 00:00:00+00:00,961.1,1045.9,973.97,1041.87,2895.1668647900324
2017-03-28 00:00:00+00:00,1016.79,1067.6,1042.27,1045.21,2533.369994109992
2017-03-29 00:00:00+00:00,1007.63,1058.1,1045.54,1043.27,3004.018175380043
2017-03-30 00:00:00+00:00,1022.27,1052.42,1043.09,1042.09,2509.8437587699927
2017-03-31 00:00:00+00:00,1040.75,1094.1,1042.32,1088.99,4044.0640424300586
2017-04-01 00:00:00+00:00,1071.46,1110.94,1088.99,1092.0,2571.0044816500013
2017-04-02 00:00:00+00:00,1080.84,1118.99,1092.0,1113.73,2661.168786930008
2017-04-03 00:00:00+00:00,1112.25,1168.26,1113.23,1152.3,3455.237282900003
2017-04-04 00:00:00+00:00,1126.1,1164.13,1152.09,1143.99,2661.400798740026
2017-04-05 00:00:00+00:00,1115.55,1144.96,1143.98,1132.99,2995.0219764700255
2017-04-06 00:00:00+00:00,1132.98,1206.91,1132.99,1192.3,3500.4815015600298
2017-04-07 00:00:00+00:00,1175.89,1202.92,1192.29,1193.99,2223.5800076699898
2017-04-08 00:00:00+00:00,1173.79,1197.98,1194.0,1184.5,1517.5069355599821
2017-04-09 00:00:00+00:00,1176.57,1220.98,1184.5,1210.98,2047.4486868899892
2017-04-10 00:00:00+00:00,1201.03,1219.42,1210.99,1210.0,1801.674032339983
2017-04-11 00:00:00+00:00,1200.51,1234.0,1210.0,1222.79,2040.454978459983
2017-04-12 00:00:00+00:00,1209.98,1227.86,1224.0,1214.18,2125.702027169982
2017-04-13 00:00:00+00:00,1148.98,1219.48,1214.68,1176.63,2133.563016889978
2017-04-14 00:00:00+00:00,1170.71,1196.54,1177.05,1173.09,1949.7016495199828
2017-04-15 00:00:00+00:00,0.06,1190.99,1173.13,1178.84,1155.2438484799886
2017-04-16 00:00:00+00:00,1173.08,1189.84,1178.84,1177.97,1051.6899329699854
2017-04-17 00:00:00+00:00,1170.94,1197.1,1177.63,1189.92,1754.2365213699736
2017-04-18 00:00:00+00:00,1189.87,1206.58,1190.95,1201.96,1651.7820900899796
2017-04-19 00:00:00+00:00,1191.35,1215.31,1201.88,1214.21,1606.3430953699633
2017-04-20 00:00:00+00:00,1212.33,1240.57,1214.22,1236.15,2215.161016649985
2017-04-21 00:00:00+00:00,1236.15,1258.59,1236.15,1250.05,1951.7339957699814
2017-04-22 00:00:00+00:00,1221.55,1252.74,1249.98,1246.99,2469.9254492700034
2017-04-23 00:00:00+00:00,1236.5,1254.0,1246.79,1251.93,1880.152322919979
2017-04-24 00:00:00+00:00,1246.32,1261.14,1251.91,1257.28,1879.515558149975
2017-04-25 00:00:00+00:00,1256.18,1287.0,1256.65,1281.16,2508.898261810023
2017-04-26 00:00:00+00:00,1279.59,1320.0,1281.18,1298.4,2910.6901924000176
2017-04-27 00:00:00+00:00,1295.8,1360.0,1297.56,1349.45,3092.369092300029
2017-04-28 00:00:00+00:00,1300.22,1380.42,1349.77,1353.33,4096.207111020101
2017-04-29 00:00:00+00:00,1335.75,1369.5,1352.96,1365.34,2999.9910463300453
2017-04-30 00:00:00+00:00,1336.02,1391.8,1364.98,1384.55,2860.066862950008
2017-05-01 00:00:00+00:00,1380.01,1466.24,1384.55,1436.5,5155.655302360167
2017-05-02 00:00:00+00:00,1427.41,1492.93,1436.5,1471.99,3997.469683910153
2017-05-03 00:00:00+00:00,1453.84,1533.0,1471.79,1533.0,6399.368103940311
2017-05-04 00:00:00+00:00,1485.14,1665.0,1533.0,1563.36,8312.309817320445
2017-05-05 00:00:00+00:00,1535.13,1630.0,1561.47,1551.3,5336.047574660382
2017-05-06 00:00:00+00:00,1551.3,1598.89,1551.3,1585.4,3748.201634240136
2017-05-07 00:00:00+00:00,1564.29,1618.31,1585.49,1609.57,5010.168448440261
2017-05-08 00:00:00+00:00,1608.53,1712.96,1611.1,1712.96,5726.109461620367
2017-05-09 00:00:00+00:00,1662.24,1794.68,1712.99,1720.43,4859.371608260304
2017-05-10 00:00:00+00:00,1692.17,1799.99,1720.24,1794.97,4509.477149740202
2017-05-11 00:00:00+00:00,1771.42,1889.0,1794.95,1837.93,5485.134475930237
2017-05-12 00:00:00+00:00,1651.01,1838.0,1837.98,1695.57,3871.0407492101435
2017-05-13 00:00:00+00:00,1610.0,1792.74,1695.56,1792.73,3113.0291511800838
2017-05-14 00:00:00+00:00,1767.97,1828.25,1791.7,1799.99,2112.3799619599617
2017-05-15 00:00:00+00:00,1703.97,1802.96,1799.98,1747.81,3246.1552338401825
2017-05-16 00:00:00+00:00,1690.69,1777.48,1747.81,1777.02,3885.5262520002357
2017-05-17 00:00:00+00:00,1745.09,1840.0,1777.49,1813.23,4311.2068694401305
2017-05-18 00:00:00+00:00,1801.25,1900.0,1813.23,1898.71,3460.432306560256
2017-05-19 00:00:00+00:00,1891.88,1979.99,1899.47,1976.23,6612.006055670212
2017-05-20 00:00:00+00:00,1970.21,2059.0,1976.22,2058.91,5294.4159283602385
2017-05-21 00:00:00+00:00,1990.08,2102.63,2058.89,2057.0,5997.9588109802025
2017-05-22 00:00:00+00:00,1975.02,2298.0,2056.99,2123.29,7538.155876990309
2017-05-23 00:00:00+00:00,2101.92,2282.99,2123.29,2272.75,6294.860755720316
2017-05-24 00:00:00+00:00,2266.51,2474.5,2272.74,2432.97,7257.212367750046
2017-05-25 00:00:00+00:00,2231.86,2806.0,2432.96,2362.13,7796.087514230639
2017-05-26 00:00:00+00:00,2052.02,2680.0,2362.17,2273.3,7669.225317210748
2017-05-27 00:00:00+00:00,1913.43,2351.98,2276.46,2099.99,8824.878499270708
2017-05-28 00:00:00+00:00,2099.86,2340.8,2099.99,2232.78,5736.6867264303755
2017-05-29 00:00:00+00:00,2141.12,2357.78,2237.0,2279.48,5219.359874400394
2017-05-30 00:00:00+00:00,2114.54,2336.67,2279.18,2191.6,5353.352453720515
2017-05-31 00:00:00+00:00,2175.0,2338.91,2191.6,2303.29,6513.760361220294
