,Low,High,Open,Close,Volume
2017-02-03 00:00:00+00:00,3.91,4.11,4.09,4.03,1915.1276336899994
2017-02-04 00:00:00+00:00,3.94,4.05,4.05,4.03,1199.0722274300003
2017-02-05 00:00:00+00:00,3.91,4.03,4.03,3.98,552.3433663799997
2017-02-06 00:00:00+00:00,3.94,4.0,3.97,3.96,889.9938527300001
2017-02-07 00:00:00+00:00,3.94,4.01,3.96,3.98,12754.785331119992
2017-02-08 00:00:00+00:00,3.91,4.02,3.98,3.97,6952.9988082900045
2017-02-09 00:00:00+00:00,3.62,3.99,3.97,3.78,12008.724522060003
2017-02-10 00:00:00+00:00,3.7,3.87,3.77,3.83,3093.794071659999
2017-02-11 00:00:00+00:00,3.83,3.88,3.83,3.84,4658.075449320002
2017-02-12 00:00:00+00:00,3.77,3.85,3.84,3.8,879.67352683
2017-02-13 00:00:00+00:00,3.75,3.82,3.8,3.79,2617.034932539996
2017-02-14 00:00:00+00:00,3.76,3.83,3.77,3.83,2075.2233377799994
2017-02-15 00:00:00+00:00,3.81,3.91,3.84,3.89,3828.322189930004
2017-02-16 00:00:00+00:00,3.85,3.92,3.88,3.86,1073.4627274299996
2017-02-17 00:00:00+00:00,3.85,3.93,3.88,3.91,775.1927409600004
2017-02-18 00:00:00+00:00,3.8,3.94,3.91,3.84,4048.4339518200004
2017-02-19 00:00:00+00:00,3.76,3.83,3.82,3.81,2884.972558239999
2017-02-20 00:00:00+00:00,3.76,3.84,3.81,3.81,2775.8411897299984
2017-02-21 00:00:00+00:00,3.77,3.88,3.81,3.86,2306.09609513
2017-02-22 00:00:00+00:00,3.85,3.93,3.85,3.89,1781.9093340499992
2017-02-23 00:00:00+00:00,3.89,3.97,3.9,3.91,1500.9702655500012
2017-02-24 00:00:00+00:00,3.79,3.99,3.93,3.95,2464.3013311700006
2017-02-25 00:00:00+00:00,3.83,3.98,3.95,3.9,5411.757602160001
2017-02-26 00:00:00+00:00,3.84,3.93,3.9,3.89,788.50340643
2017-02-27 00:00:00+00:00,3.85,3.91,3.89,3.87,5633.971644459997
2017-02-28 00:00:00+00:00,3.81,3.9,3.87,3.85,2933.594920420001
2017-03-01 00:00:00+00:00,3.8,3.94,3.87,3.86,4415.198123669998
2017-03-02 00:00:00+00:00,3.83,4.27,3.87,4.04,8425.042774410014
2017-03-03 00:00:00+00:00,4.01,4.41,4.08,4.07,5281.808235120001
2017-03-04 00:00:00+00:00,3.96,4.13,4.07,4.04,3957.9418068299997
2017-03-05 00:00:00+00:00,3.94,4.04,4.04,4.02,1181.0213876799992
2017-03-06 00:00:00+00:00,3.96,4.1,4.01,4.1,3047.7072111200023
2017-03-07 00:00:00+00:00,3.95,4.21,4.1,3.99,3058.81767998
2017-03-08 00:00:00+00:00,3.83,4.01,4.01,3.86,3315.8839275699975
2017-03-09 00:00:00+00:00,3.83,3.95,3.84,3.92,1546.71788836
2017-03-10 00:00:00+00:00,3.7,4.1,3.92,3.79,8075.662444550012
2017-03-11 00:00:00+00:00,3.77,3.95,3.78,3.82,6360.359127989988
2017-03-12 00:00:00+00:00,3.82,3.95,3.84,3.94,6329.522936730002
2017-03-13 00:00:00+00:00,3.89,4.5,3.93,4.41,21676.137522129986
2017-03-14 00:00:00+00:00,4.14,4.42,4.4,4.2,7073.278049300009
2017-03-15 00:00:00+00:00,4.1,4.42,4.2,4.33,7368.075847230007
2017-03-16 00:00:00+00:00,4.22,4.58,4.32,4.34,12426.222082159971
2017-03-17 00:00:00+00:00,4.0,4.35,4.35,4.12,9012.299477430013
2017-03-18 00:00:00+00:00,3.7,4.4,4.12,4.02,16253.091527350003
2017-03-19 00:00:00+00:00,3.88,4.12,4.0,3.93,5131.223577720018
2017-03-20 00:00:00+00:00,3.85,4.14,3.94,4.14,6015.534128400001
2017-03-21 00:00:00+00:00,3.97,4.2,4.19,4.04,7849.333748010003
2017-03-22 00:00:00+00:00,3.83,4.02,4.01,3.94,9566.474412199996
2017-03-23 00:00:00+00:00,3.9,4.03,3.95,3.96,3609.46296084
2017-03-24 00:00:00+00:00,3.93,4.33,3.97,4.12,23696.50282856998
2017-03-25 00:00:00+00:00,3.98,4.18,4.11,4.09,11626.631865800007
2017-03-26 00:00:00+00:00,4.04,4.11,4.08,4.1,9011.150349250007
2017-03-27 00:00:00+00:00,4.03,4.19,4.09,4.08,16553.40118497002
2017-03-28 00:00:00+00:00,4.07,4.22,4.08,4.2,6984.801950539998
2017-03-29 00:00:00+00:00,4.12,4.39,4.19,4.3,14396.50878757002
2017-03-30 00:00:00+00:00,4.28,9.89,4.33,7.87,140692.04329019014
2017-03-31 00:00:00+00:00,5.92,7.9,7.89,7.25,119884.18655530967
2017-04-01 00:00:00+00:00,6.66,7.72,7.25,7.61,60850.186000510126
2017-04-02 00:00:00+00:00,7.12,8.71,7.57,8.34,105076.4443155504
2017-04-03 00:00:00+00:00,7.64,9.44,8.37,8.61,96071.04506376985
2017-04-04 00:00:00+00:00,8.37,9.62,8.61,9.15,84631.36582360994
2017-04-05 00:00:00+00:00,8.9,13.75,9.15,12.9,215145.52698088068
2017-04-06 00:00:00+00:00,9.84,13.15,12.9,10.87,224842.33983989398
2017-04-07 00:00:00+00:00,9.57,11.32,10.86,9.97,101710.74647982945
2017-04-08 00:00:00+00:00,9.88,11.31,9.98,10.79,62046.394936770346
2017-04-09 00:00:00+00:00,8.75,10.97,10.79,9.32,50891.438607820084
2017-04-10 00:00:00+00:00,9.01,10.12,9.34,9.87,56149.41175473994
2017-04-11 00:00:00+00:00,9.5,10.35,9.87,9.72,50786.35489659996
2017-04-12 00:00:00+00:00,9.69,12.19,9.72,11.69,115236.44526716345
2017-04-13 00:00:00+00:00,10.69,11.73,11.69,11.09,55388.825364410084
2017-04-14 00:00:00+00:00,11.03,11.84,11.1,11.6,53328.774529050184
2017-04-15 00:00:00+00:00,10.46,12.14,11.61,11.72,58135.10448639994
2017-04-16 00:00:00+00:00,11.57,11.87,11.72,11.7,24372.715731709868
2017-04-17 00:00:00+00:00,11.03,12.6,11.7,11.15,98712.23019306012
2017-04-18 00:00:00+00:00,10.4,11.49,11.15,10.95,101192.61293633
2017-04-19 00:00:00+00:00,10.05,10.99,10.95,10.21,54203.50836450003
2017-04-20 00:00:00+00:00,10.16,11.4,10.21,10.99,76471.9216837901
